"product_id","gtin","title","brand","aff_code","category","price","old_price","url","image_urls","description","campaign_name"
"RH6878WO","","Aspirator vertical Rowenta X-Pert 6.60 Animal Care RH6878WO  100W  18V  autonomie 45 min  filtrare 94%  perie cu iluminare LED  recipient praf 0.55 L","rowenta","https://event.2performant.com/events/click?ad_type=product_store&unique=17ec90f05&aff_code=244836372&campaign_unique=d19151f4f","Aspiratoare verticale","729.99","","https://www.rowenta.ro/aspirator-vertical-rowenta-x-pert-6-60-animal-care-rh6878wo-autonomie-max-45-min-cap-de-aspirare-motorizat-cu-iluminare-led-2-trepte-de-putere-functie-boost-rosu-gri","https://www.rowenta.ro/media/catalog/product/a/s/aspirator-vertical-rowenta-x-pert-6-60-animal-care-rh6878wo-100w-1_13_.jpg","&lt;p&gt;&lt;img style= float: right; src= {{media url=wysiwyg/Aspirator-vertical-versatil-RH6878WO-photo-dreapta.jpg}} alt= data-image= right /&gt;&lt;/p&gt; &lt;h5&gt;Aspiratorul ideal pentru performanță de top&lt;/h5&gt; &lt;p&gt;Aspiratorul vertical Rowenta X-Pert 6.60 oferă o experiență de neegalat în utilizare datorită capului de aspirare cu perie motorizată iluminare LED și tehnologie de ultimă generație pentru rezultate perfecte fără efort. Aspiratorul dispune de o baterie ce oferă o autonomie de până la 45 de minute și de 2 trepte de putere ușor de utilizat - treapta automată ECO și treapta Surface precum și funcția BOOST pentru un plus de putere pentru situații extreme - toate acestea într-un aparat cu greutate redusă pentru o curățare ușoară a locuinței tale.&lt;/p&gt; &lt;p&gt; &lt;/p&gt; &lt;p&gt;&lt;img style= float: left; src= {{media url=wysiwyg/Aspirator-vertical-versatil-RH6878WO-photo-stanga.jpg}} alt= data-image= left /&gt;&lt;/p&gt; &lt;h5&gt; &lt;/h5&gt; &lt;h5&gt; &lt;/h5&gt; &lt;h5&gt; &lt;/h5&gt; &lt;h5&gt;Aspiratorul vertical Rowenta X-Pert 6.60: Ideal pentru performanță de top&lt;/h5&gt; &lt;p&gt;Proiectat special pentru a optimiza experiența de curățare aspiratorul vertical Rowenta X-Pert oferă combinația ideală între tehnologia avansată și designul compact cu greutate redusă. Obține o locuință curată într-un timp scurt: cap de aspirare cu perie motorizată de înaltă performanță și iluminare LED 2 trepte automate de putere și funcție BOOST baterie detașabilă cu o autonomie de până la 45 de minute*. Aspiratorul vertical este echipat cu o varietate de funcții precum poziția Stop &amp; Go - tubul și capul de aspirare vor rămâne în poziție verticală - recipient pentru praf ușor de curățat sub jet de apă și multe altele pentru o experiență perfectă de curățare. Toate acestea în combinație cu designul ergonomic și cu greutate redusă pentru un confort sporit în utilizare.&lt;/p&gt; &lt;p&gt; &lt;/p&gt;","rowenta.ro/"
"RH1128WO","","Aspirator vertical fără fir Rowenta X-Nano RH1128WO  Tehnologie 2 în 1  mod de aspirator de mână  autonomie max 40 min  negru","rowenta","https://event.2performant.com/events/click?ad_type=product_store&unique=d95c8f57e&aff_code=244836372&campaign_unique=d19151f4f","Aspiratoare verticale","699.99","","https://www.rowenta.ro/aspirator-vertical-rowenta-x-nano-rh1128wo-tehnologie-2-in-1-mod-de-aspirator-de-mana-autonomie-max-40-min-greutate-redusa-incarcare-rapida-peria-motorizata","https://www.rowenta.ro/media/catalog/product/a/s/aspirator-vertical-fara-fir-rowenta-x-nano-rh1128wo-tehnologie-2-in-1-1_7_.jpg","&lt;p&gt;&lt;img style= float: right; src= {{media url=wysiwyg/Aspirator-vertical-versatil-RH1128WO-photo-dreapta.jpg}} alt= data-image= right /&gt;&lt;/p&gt; &lt;h5&gt;Greutate redusă* pentru sesiuni de curățenie fără efort&lt;/h5&gt; &lt;p&gt;Aspiratorul vertical Rowenta X-Nano a fost proiectat special pentru a-ți ușura sesiunile de curățenie zilnice datorită greutății reduse. Aspiratorul beneficiază de un design subțire și ușor cu ajutorul căruia vei putea aspira cu ușurință praful din zonele greu accesibile.&lt;/p&gt; &lt;p&gt;Tehnologia 2 în 1 transformă aspiratorul din unul vertical în unul portabil cu o greutate de numai 1 kg pentru o curățare completă a locuinței tale toate acestea la pachet cu o autonomie de până la 40 de minute.&lt;/p&gt; &lt;p&gt; &lt;/p&gt; &lt;p&gt;&lt;img style= float: left; src= {{media url=wysiwyg/Aspirator-vertical-versatil-RH1128WO-photo-stanga.jpg}} alt= data-image= left /&gt;&lt;/p&gt; &lt;h5&gt;Aspiratorul cântărește 1 kg atunci când este folosit în modul de aspirator de mână&lt;/h5&gt; &lt;p&gt;Aspiratorul vertical Rowenta X-Nano: Greutate redusă pentru sesiuni de curățat fără efort; Bucură-te de o locuință perfect curată datorită aspiratorului vertical Rowenta X-Nano.&lt;/p&gt; &lt;p&gt;Acesta dispune de o varietate de funcții avansate precum: design subțire și ușor pentru aspirarea ușoară a prafului din zonele greu accesibile tehnologie 2 în 1 pentru o acoperire completă a întregii locuințe *folosind aspiratorul de mână; autonomie de până la 40 de minute** și multe altele.&lt;/p&gt; &lt;p&gt; &lt;/p&gt;","rowenta.ro/"
"RY8544WH","","Aspirator cu abur Rowenta Clean & Steam Multi RY8544WH  1700 W  autonomie abur 30 min  reglaj abur eco/max  accesoriu pentru ferestre  recipient praf","rowenta","https://event.2performant.com/events/click?ad_type=product_store&unique=3d2f40dbe&aff_code=244836372&campaign_unique=d19151f4f","Aspiratoare cu abur","1499.9","","https://www.rowenta.ro/aspirator-cu-abur-rowenta-clean-steam-multi-ry8544wh-1700-w-autonomie-abur-30-min-reglaj-abur-eco-max-accesoriu-pentru-ferestre-recipient-praf-0-5-l-recipient-apa-0-4l-alb","https://www.rowenta.ro/media/catalog/product/a/s/aspirator-cu-abur-rowenta-clean-steam-multi-ry8544wh_11_.jpg","&lt;p&gt;&lt;img style= float: right; src= {{media url=wysiwyg/Aspirator-vertical-cu-aburi-RY8544WH-photo-dreapta.jpg}} alt= data-image= right /&gt;&lt;/p&gt; &lt;h5&gt; &lt;/h5&gt; &lt;h5&gt; &lt;/h5&gt; &lt;h5&gt;Mai rapid mai curat mai sănătos&lt;/h5&gt; &lt;p&gt;Aspiratorul cu abur Rowenta Clean &amp; Steam 3 în 1 asigură curățare impecabilă într-un timp scurt pentru toate tipurile de podele și suprafețe pentru ca tu să economisești timp zi de zi. Experimentează eficiența curățarii dintr-o singură mișcare și puterea de aspirare de top cu un aparat ce le face pe toate: aspiră și curăță cu abur simultan podelele curăță cu abur toate suprafețele datorită accesoriului cu abur de mână detașabil pachetul oferind o gamă variată de accesorii pentru versatilitate absolută.&lt;/p&gt; &lt;p&gt;Aspiratorul cu abur Rowenta Clean &amp; Steam 3 în 1 oferă eficiență într-o singură mișcare și putere de aspirare de top pentru sesiuni de curățat fără compromisuri.&lt;/p&gt; &lt;p&gt;&lt;img style= float: left; src= {{media url=wysiwyg/Aspirator-vertical-cu-aburi-RY8544WH-photo-stanga.jpg}} alt= data-image= left /&gt;&lt;/p&gt; &lt;h5&gt; &lt;/h5&gt; &lt;h5&gt;Aspiratorul cu abur Rowenta Clean &amp; Steam 3 în 1: Mai rapid mai curat mai sănătos&lt;/h5&gt; &lt;p&gt;Descoperă o metodă mai rapidă și mai sănătoasă de a curăța prin intermediul acestui aparat. Acesta aspiră și curăță cu abur toate suprafețele dintr-o singură mișcare chiar și cele mai dificile pete.&lt;/p&gt; &lt;p&gt;Accesoriul cu abur de mână detașabil și varietatea de accesorii sunt proiectate pentru toate suprafețele chiar și pentru locurile greu accesibile precum ferestre sau alte tipuri de colțuri. Aparatul perfect pentru a curăța orice încăpere de la sufragerie la baie și bucătărie acesta fiind capabil să îndrepte și să împrospăteze materialele textile. Clean &amp; Steam 3 în 1 produce abur folosind numai apă de la robinet eliminând până la 99.99% din virusuri bacterii și germeni fără chimicale sau detergenți.; *Teste efectuate în laborator extern pe E. Coli Staph. Aureus și Murin Norovirus (nivel maxim de intensitate 30 secunde PVC). Mai 2021.&lt;/p&gt; &lt;p&gt; &lt;/p&gt;","rowenta.ro/"
