"title","aff_code","price","campaign_name","image_urls","description","category","product_id","old_price","brand","product_active","url","gtin","campaign_id","widget_name"
"Hub USB D-Link DUB-H4  4 porturi","https://event.2performant.com/events/click?ad_type=product_store&unique=cc0c124e6&aff_code=244836372&campaign_unique=d4f678b43","109.99","evomag.ro ","https://static2.evomag.ro/img?extend=white&file=products%2F5%2F5578%2Fhub-usb-d-link-dub-h4-4-portu-635f799dce214.JPG&type=auto&width=500&sign=9r6bMh68J5jKwL85bPjwLZ8uOUTpakHCZl5LskjYlxg","Hub USB D-Link DUB-H4 4 porturi","Hub USB","5578","","D-Link","1","https://www.evomag.ro/componente-pc-gaming-hub-usb/d-link-multiplicator-4-porturi-usb-dub-h4-5578.html","","411","evomag.ro"
"Hub USB D-Link 7 porturi DUB-H7","https://event.2performant.com/events/click?ad_type=product_store&unique=ba3f0c018&aff_code=244836372&campaign_unique=d4f678b43","145.99","evomag.ro ","https://static2.evomag.ro/img?extend=white&file=products%2F5%2F5579%2FHub+USB+D-Link+7+porturi+DUB-H7+A.jpg&type=auto&width=500&sign=VIttc1sZBgNMAPgO2bDT_WVrdjR-a-P_iRDpHfUbXMw","Dlink DUB-H7 , USB 2.0 7-Port Hub, 7 USB A-Type Recepticles for connecting downstream for USB devices, 1 USB B-Type Recepticle for upstream connection to PC or other USB hub, High-Speed 480Mbps Data Transfer Rate","Hub USB","5579","","D-Link","1","https://www.evomag.ro/componente-pc-gaming-hub-usb/d-link-multiplicator-7-porturi-usb-dub-h7-5579.html","","411","evomag.ro"
"Switch D-Link DES-1016D","https://event.2performant.com/events/click?ad_type=product_store&unique=bbba79bde&aff_code=244836372&campaign_unique=d4f678b43","312.99","evomag.ro ","https://static2.evomag.ro/img?extend=white&file=products%2F5%2F5587%2FDES-1016D.jpg&type=auto&width=500&sign=AilzF6VDjdbFRGngj_wqDiSM_c12vio9NZxmVnRzCy0","16x100BaseTX Desktop Switch, 16x10/100 Auto-Neg. (NWAY), Half/Full-Duplex, IEEE802.3x Flow Control, Auto-MDI/MDI-X (For uplink), Rackmount Kit for Installation in 19inch Rack suppliedâ�","Switch-uri","5587","","D-Link","1","https://www.evomag.ro/retelistica-switch-uri/d-link-16x100basetx-desktop-switch-5587.html","","411","evomag.ro"
"Switch D-Link GigaExpress DGS-1024D, 24x10/100/1000","https://event.2performant.com/events/click?ad_type=product_store&unique=62273d290&aff_code=244836372&campaign_unique=d4f678b43","499.99","evomag.ro ","https://static2.evomag.ro/img?extend=white&file=products%2F5%2F5589%2FDGS-1024D.jpg&type=auto&width=500&sign=6Mvmc3Jh0nyJs2Mo04U9PX34jNyUp7JjMsnkESDWYzM","Switch D-Link GigaExpress DGS-1024D, 24x10/100/1000","Switch-uri","5589","","D-Link","1","https://www.evomag.ro/retelistica-switch-uri/d-link-24x1000baset-gigabit-desktop-unmanaged-switch-5589.html","","411","evomag.ro"
